start.date,end.date,block,treatment,plot,replicate,sampling.method,genus,species,num.workers
2008-07-18,2008-07-28,Valley,Girdled,1,1,Pitfall,Aphaenogaster,picea,2
2008-07-18,2008-07-28,Valley,Girdled,1,1,Pitfall,Stenamma,impar,1
2008-09-22,2008-10-02,Valley,Girdled,1,1,Litter_sifting,Aphaenogaster,picea,3
2008-09-22,2008-10-02,Valley,Girdled,1,1,Pitfall,Aphaenogaster,picea,3
2008-09-22,2008-10-02,Valley,Girdled,1,1,Pitfall,Aphaenogaster,picea,3
2008-05-19,2008-05-29,Valley,Girdled,1,2,Litter_sifting,Aphaenogaster,picea,2
2008-05-19,2008-05-29,Valley,Girdled,1,2,Pitfall,Aphaenogaster,picea,2
2008-05-19,2008-05-29,Valley,Girdled,1,2,Litter_sifting,Aphaenogaster,picea,2
2008-07-18,2008-07-28,Valley,Girdled,1,2,Litter_sifting,Aphaenogaster,picea,3
2008-09-22,2008-10-02,Valley,Girdled,1,2,Litter_sifting,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,Girdled,1,3,Litter_sifting,Aphaenogaster,picea,22
2008-05-19,2008-05-29,Valley,Girdled,1,3,Pitfall,Formica,subsericea,2
2008-05-19,2008-05-29,Valley,Girdled,1,3,Litter_sifting,Stenamma,impar,4
2008-09-22,2008-10-02,Valley,Girdled,1,3,Pitfall,Aphaenogaster,picea,4
2008-09-22,2008-10-02,Valley,Girdled,1,3,Litter_sifting,Aphaenogaster,picea,2
2008-09-22,2008-10-02,Valley,Girdled,1,3,Pitfall,Aphaenogaster,picea,4
2008-05-19,2008-05-29,Valley,Girdled,1,4,Litter_sifting,Aphaenogaster,picea,5
2008-05-19,2008-05-29,Valley,Girdled,1,4,Litter_sifting,Stenamma,impar,3
2008-07-18,2008-07-28,Valley,Girdled,1,4,Litter_sifting,Aphaenogaster,picea,1
2008-07-18,2008-07-28,Valley,Girdled,1,4,Pitfall,Aphaenogaster,picea,5
2008-07-18,2008-07-28,Valley,Girdled,1,4,Litter_sifting,Stenamma,impar,1
2008-07-18,2008-07-28,Valley,Girdled,1,4,Pitfall,Stenamma,impar,1
