start.date,end.date,block,treatment,plot,replicate,sampling.method,family,morphospecies.code,count
2008-05-19,2008-05-29,Valley,Girdled,1,4,Litter_sifting,Carabidae,9,2
2008-09-22,2008-10-02,Valley,Girdled,1,1,Litter_sifting,Carabidae,9,4
2008-09-22,2008-10-02,Valley,Girdled,1,5,Litter_sifting,Curculionidae,85,1
2008-07-18,2008-07-28,Valley,Girdled,1,1,Litter_sifting,Carabidae,9,2
2008-09-22,2008-10-02,Valley,Girdled,1,4,Litter_sifting,Leiodidae,83,4
2008-07-18,2008-07-28,Valley,Girdled,1,1,Pitfall,Carabidae,9,1
2008-09-22,2008-10-02,Valley,Girdled,1,2,Litter_sifting,Leiodidae,83,1
2008-09-22,2008-10-02,Valley,Girdled,1,3,Litter_sifting,Carabidae,9,1
2008-07-18,2008-07-28,Valley,Girdled,1,3,Litter_sifting,Staphylinidae,72,1
2008-07-18,2008-07-28,Valley,Girdled,1,4,Litter_sifting,Carabidae,9,1
2008-05-19,2008-05-29,Valley,Girdled,1,2,Pitfall,Carabidae,9,1
2008-05-19,2008-05-29,Valley,Girdled,1,2,Pitfall,Staphylinidae,10,1
2008-05-19,2008-05-29,Valley,Girdled,1,1,Pitfall,Staphylinidae,10,1
2008-05-19,2008-05-29,Valley,Girdled,1,3,Pitfall,Staphylinidae,11,1
2008-05-19,2008-05-29,Valley,Girdled,1,4,Litter_sifting,Staphylinidae,38,9
2008-05-19,2008-05-29,Valley,Girdled,1,2,Pitfall,Staphylinidae,11,2
2008-07-18,2008-07-28,Valley,Girdled,1,3,Pitfall,Carabidae,75,1
2008-07-18,2008-07-28,Valley,Girdled,1,5,Pitfall,Scarabaeidae,108,1
2008-09-22,2008-10-02,Valley,Girdled,1,2,Litter_sifting,Carabidae,9,2
2008-09-22,2008-10-02,Valley,Girdled,1,2,Pitfall,Carabidae,104,1
2008-05-19,2008-05-29,Valley,Girdled,1,3,Pitfall,Carabidae,2,4
2008-07-18,2008-07-28,Valley,Girdled,1,1,Pitfall,Carabidae,106,1
2008-05-19,2008-05-29,Valley,Girdled,1,5,Pitfall,Carabidae,2,15
2008-05-19,2008-05-29,Valley,Girdled,1,4,Pitfall,Carabidae,2,13
2008-05-19,2008-05-29,Valley,Girdled,1,4,Litter_sifting,Carabidae,2,1
2008-07-18,2008-07-28,Valley,Girdled,1,5,Pitfall,Carabidae,104,1
2008-07-18,2008-07-28,Valley,Girdled,1,3,Pitfall,Carabidae,104,2
2008-07-18,2008-07-28,Valley,Girdled,1,2,Litter_sifting,Carabidae,86,2
2008-07-18,2008-07-28,Valley,Girdled,1,1,Pitfall,Carabidae,104,2
2008-05-19,2008-05-29,Valley,Girdled,1,5,Pitfall,Carabidae,9,1
2008-09-22,2008-10-02,Valley,Girdled,1,4,Pitfall,Carabidae,104,1
2008-09-22,2008-10-02,Valley,Girdled,1,5,Pitfall,Carabidae,104,1
2008-07-18,2008-07-28,Valley,Girdled,1,2,Pitfall,Carabidae,104,2
2008-07-18,2008-07-28,Valley,Girdled,1,4,Pitfall,Carabidae,104,2
2008-05-19,2008-05-29,Valley,Girdled,1,2,Pitfall,Carabidae,8,2
2008-07-18,2008-07-28,Valley,Girdled,1,4,Pitfall,Carabidae,8,1
2008-05-19,2008-05-29,Valley,Girdled,1,4,Pitfall,Carabidae,9,1
2008-07-18,2008-07-28,Valley,Girdled,1,5,Pitfall,Staphylinidae,72,1
2008-05-19,2008-05-29,Valley,Girdled,1,1,Pitfall,Carabidae,2,7
2008-05-19,2008-05-29,Valley,Girdled,1,4,Litter_sifting,Scydmaenidae,35,1
2008-05-19,2008-05-29,Valley,Girdled,1,4,Litter_sifting,Staphylinidae,58,2
2008-07-18,2008-07-28,Valley,Girdled,1,1,Litter_sifting,Staphylinidae,58,2
2008-05-19,2008-05-29,Valley,Girdled,1,5,Litter_sifting,Scarabaeidae,57,1
2008-09-22,2008-10-02,Valley,Girdled,1,3,Litter_sifting,Nitidulidae,55,1
2008-09-22,2008-10-02,Valley,Girdled,1,1,Litter_sifting,Carabidae,24,1
2008-09-22,2008-10-02,Valley,Girdled,1,1,Pitfall,Staphylinidae,50,1
2008-07-18,2008-07-28,Valley,Girdled,1,3,Pitfall,Elateridae,34,1
2008-09-22,2008-10-02,Valley,Girdled,1,3,Litter_sifting,Curculionidae,12,1
2008-05-19,2008-05-29,Valley,Girdled,1,2,Litter_sifting,Scydmaenidae,35,3
2008-07-18,2008-07-28,Valley,Girdled,1,1,Litter_sifting,Scaphidiidae,62,1
2008-05-19,2008-05-29,Valley,Girdled,1,3,Pitfall,Staphylinidae,139,1
2008-07-18,2008-07-28,Valley,Girdled,1,5,Litter_sifting,Scydmaenidae,35,1
2008-09-22,2008-10-02,Valley,Girdled,1,1,Litter_sifting,Scydmaenidae,35,1
2008-05-19,2008-05-29,Valley,Girdled,1,3,Litter_sifting,Staphylinidae,38,3
2008-09-22,2008-10-02,Valley,Girdled,1,3,Litter_sifting,Staphylinidae,38,1
2008-05-19,2008-05-29,Valley,Girdled,1,5,Litter_sifting,Staphylinidae,38,11
2008-05-19,2008-05-29,Valley,Girdled,1,1,Litter_sifting,Staphylinidae,38,1
2008-05-19,2008-05-29,Valley,Girdled,1,4,Litter_sifting,Staphylinidae,50,1
2008-05-19,2008-05-29,Valley,Girdled,1,5,Pitfall,Carabidae,15,1
2008-07-18,2008-07-28,Valley,Girdled,1,2,Litter_sifting,Staphylinidae,72,1
2008-07-18,2008-07-28,Valley,Girdled,1,3,Litter_sifting,Staphylinidae,71,1
2008-07-18,2008-07-28,Valley,Girdled,1,3,Litter_sifting,Scaphidiidae,70,1
2008-09-22,2008-10-02,Valley,Girdled,1,3,Litter_sifting,Carabidae,69,1
2008-05-19,2008-05-29,Valley,Girdled,1,4,Pitfall,Staphylinidae,13,2
2008-07-18,2008-07-28,Valley,Girdled,1,2,Pitfall,Staphylinidae,13,2
2008-05-19,2008-05-29,Valley,Girdled,1,1,Pitfall,Staphylinidae,13,2
2008-07-18,2008-07-28,Valley,Girdled,1,5,Litter_sifting,Staphylinidae,58,1
2008-07-18,2008-07-28,Valley,Girdled,1,5,Pitfall,Carabidae,14,1
2008-05-19,2008-05-29,Valley,Girdled,1,1,Pitfall,Carabidae,21,1
2008-05-19,2008-05-29,Valley,Girdled,1,1,Litter_sifting,Lampyridae,16,1
2008-05-19,2008-05-29,Valley,Girdled,1,5,Litter_sifting,Lampyridae,16,1
2008-05-19,2008-05-29,Valley,Girdled,1,5,Pitfall,Lampyridae,16,1
2008-07-18,2008-07-28,Valley,Girdled,1,1,Litter_sifting,Ptilidae,68,7
2008-07-18,2008-07-28,Valley,Girdled,1,5,Litter_sifting,Ptilidae,68,25
2008-07-18,2008-07-28,Valley,Girdled,1,2,Litter_sifting,Ptilidae,68,2
2008-09-22,2008-10-02,Valley,Girdled,1,1,Litter_sifting,Scaphidiidae,62,1
2008-05-19,2008-05-29,Valley,Girdled,1,3,Pitfall,Staphylinidae,10,1
2008-05-19,2008-05-29,Valley,Girdled,1,5,Pitfall,Carabidae,14,1
2008-07-18,2008-07-28,Valley,Girdled,1,3,Pitfall,Staphylinidae,121,1
2008-05-19,2008-05-29,Valley,Girdled,1,5,Litter_sifting,Carabidae,2,1
2008-07-18,2008-07-28,Valley,Girdled,1,2,Pitfall,Staphylinidae,126,3
2008-09-22,2008-10-02,Valley,Girdled,1,5,Pitfall,Staphylinidae,121,1
2008-07-18,2008-07-28,Valley,Girdled,1,1,Pitfall,Elateridae,130,1
2008-09-22,2008-10-02,Valley,Girdled,1,3,Pitfall,Staphylinidae,121,1
2008-07-18,2008-07-28,Valley,Girdled,1,5,Pitfall,Staphylinidae,126,2
2008-09-22,2008-10-02,Valley,Girdled,1,2,Pitfall,Carabidae,2,2
2008-07-18,2008-07-28,Valley,Girdled,1,3,Pitfall,Carabidae,2,3
2008-09-22,2008-10-02,Valley,Girdled,1,3,Litter_sifting,Carabidae,2,1
2008-09-22,2008-10-02,Valley,Girdled,1,5,Pitfall,Staphylinidae,135,1
2008-09-22,2008-10-02,Valley,Girdled,1,1,Litter_sifting,Carabidae,2,1
2008-05-19,2008-05-29,Valley,Girdled,1,2,Pitfall,Carabidae,2,6
2008-05-19,2008-05-29,Valley,Logged,2,2,Litter_sifting,Carabidae,24,3
2008-05-19,2008-05-29,Valley,Logged,2,2,Pitfall,Tenebrionidae,20,1
2008-05-19,2008-05-29,Valley,Logged,2,5,Pitfall,Carabidae,25,1
2008-07-18,2008-07-28,Valley,Logged,2,4,Pitfall,Nitidulidae,123,1
2008-09-22,2008-10-02,Valley,Logged,2,4,Litter_sifting,Carabidae,24,3
2008-07-18,2008-07-28,Valley,Logged,2,1,Litter_sifting,Carabidae,24,6
2008-05-19,2008-05-29,Valley,Logged,2,1,Litter_sifting,Carabidae,24,8
2008-05-19,2008-05-29,Valley,Logged,2,5,Litter_sifting,Elateridae,52,1
2008-09-22,2008-10-02,Valley,Logged,2,5,Litter_sifting,Scaphidiidae,62,1
2008-07-18,2008-07-28,Valley,Logged,2,2,Litter_sifting,Carabidae,24,2
2008-07-18,2008-07-28,Valley,Logged,2,3,Litter_sifting,Mordellidae,66,1
2008-07-18,2008-07-28,Valley,Logged,2,2,Pitfall,Carabidae,24,2
2008-05-19,2008-05-29,Valley,Logged,2,5,Litter_sifting,Carabidae,24,1
2008-07-18,2008-07-28,Valley,Logged,2,5,Pitfall,Carabidae,24,1
2008-07-18,2008-07-28,Valley,Logged,2,5,Litter_sifting,Carabidae,24,1
2008-07-18,2008-07-28,Valley,Logged,2,4,Pitfall,Scarabaeidae,101,1
2008-09-22,2008-10-02,Valley,Logged,2,4,Litter_sifting,Leiodidae,83,1
2008-07-18,2008-07-28,Valley,Logged,2,1,Litter_sifting,Staphylinidae,78,1
2008-09-22,2008-10-02,Valley,Logged,2,5,Litter_sifting,Leiodidae,83,2
2008-07-18,2008-07-28,Valley,Logged,2,3,Pitfall,Staphylinidae,10,1
2008-09-22,2008-10-02,Valley,Logged,2,2,Pitfall,Carabidae,75,1
2008-09-22,2008-10-02,Valley,Logged,2,1,Pitfall,Carabidae,75,1
2008-05-19,2008-05-29,Valley,Logged,2,3,Pitfall,Curculionidae,12,1
2008-05-19,2008-05-29,Valley,Logged,2,3,Pitfall,Carabidae,17,1
2008-09-22,2008-10-02,Valley,Logged,2,5,Litter_sifting,Coccinellidae,99,1
2008-09-22,2008-10-02,Valley,Logged,2,1,Litter_sifting,Scaphidiidae,62,1
2008-05-19,2008-05-29,Valley,Logged,2,5,Pitfall,Staphylinidae,13,1
2008-05-19,2008-05-29,Valley,Logged,2,5,Pitfall,Carabidae,2,2
2008-05-19,2008-05-29,Valley,Logged,2,3,Pitfall,Carabidae,2,3
2008-07-18,2008-07-28,Valley,Logged,2,3,Litter_sifting,Mycetophagidae,67,1
2008-09-22,2008-10-02,Valley,Logged,2,3,Litter_sifting,Carabidae,24,1
2008-07-18,2008-07-28,Valley,Logged,2,3,Pitfall,Mordellidae,66,1
2008-05-19,2008-05-29,Valley,Logged,2,1,Pitfall,Silphidae,26,1
2008-05-19,2008-05-29,Valley,Logged,2,4,Pitfall,Carabidae,2,3
2008-09-22,2008-10-02,Valley,Logged,2,1,Litter_sifting,Endomychidae,98,1
2008-07-18,2008-07-28,Valley,Logged,2,3,Litter_sifting,Carabidae,24,6
2008-09-22,2008-10-02,Valley,Logged,2,3,Litter_sifting,Scydmaenidae,35,1
2008-05-19,2008-05-29,Valley,Logged,2,2,Pitfall,Scydmaenidae,35,2
2008-07-18,2008-07-28,Valley,Logged,2,1,Pitfall,Carabidae,106,1
2008-09-22,2008-10-02,Valley,Logged,2,3,Pitfall,Derodontidae,134,1
2008-07-18,2008-07-28,Valley,Logged,2,4,Pitfall,Staphylinidae,116,1
2008-09-22,2008-10-02,Valley,Logged,2,3,Pitfall,Carabidae,104,1
2008-07-18,2008-07-28,Valley,Logged,2,4,Pitfall,Carabidae,2,1
2008-07-18,2008-07-28,Valley,Logged,2,3,Pitfall,Throscidae,42,1
2008-05-19,2008-05-29,Valley,Logged,2,1,Litter_sifting,Scydmaenidae,35,2
2008-09-22,2008-10-02,Valley,Logged,2,1,Pitfall,Carabidae,104,1
2008-07-18,2008-07-28,Valley,Logged,2,2,Pitfall,Lycidae,131,1
2008-09-22,2008-10-02,Valley,Logged,2,5,Litter_sifting,Scydmaenidae,35,1
2008-05-19,2008-05-29,Valley,Logged,2,4,Pitfall,Staphylinidae,30,1
2008-07-18,2008-07-28,Valley,Logged,2,4,Pitfall,Mordellidae,111,1
2008-09-22,2008-10-02,Valley,Logged,2,3,Pitfall,Staphylinidae,50,1
2008-07-18,2008-07-28,Valley,Logged,2,5,Pitfall,Carabidae,104,1
2008-09-22,2008-10-02,Valley,Logged,2,3,Litter_sifting,Staphylinidae,30,1
2008-09-22,2008-10-02,Valley,Logged,2,1,Litter_sifting,Scydmaenidae,35,1
2008-09-22,2008-10-02,Valley,Logged,2,5,Pitfall,Carabidae,2,1
2008-09-22,2008-10-02,Valley,Logged,2,4,Pitfall,Carabidae,104,1
2008-07-18,2008-07-28,Valley,Logged,2,1,Pitfall,Carabidae,104,1
2008-07-18,2008-07-28,Valley,Logged,2,3,Pitfall,Carabidae,104,1
2008-07-18,2008-07-28,Valley,Hemlock,3,4,Litter_sifting,Curculionidae,12,2
2008-05-19,2008-05-29,Valley,Hemlock,3,1,Pitfall,Elateridae,37,1
2008-05-19,2008-05-29,Valley,Hemlock,3,5,Litter_sifting,Curculionidae,45,1
