year,date,block,plot,treatment,moose.cage,trap.type,trap.num,genus,species,code,abundance
2003,6/1/2003,Ridge,4,Logged,,bait,1 hour,Aphaenogaster,fulva,aphful,2
2003,6/1/2003,Ridge,4,Logged,,bait,1 hour,Aphaenogaster,picea,aphpic,2
2003,6/1/2003,Ridge,4,Logged,,bait,1 hour,Temnothorax,longispinosus,temlon,1
2003,6/1/2003,Ridge,4,Logged,,bait,15 minutes,Aphaenogaster,picea,aphpic,2
2003,6/1/2003,Ridge,4,Logged,,hand,,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,4,Logged,,hand,,Camponotus,pennsylvanicus,campen,1
2003,6/1/2003,Ridge,4,Logged,,hand,,Lasius,americanus,lasame,1
2003,6/1/2003,Ridge,4,Logged,,hand,,Myrmica,punctiventris,myrpun,1
2003,6/1/2003,Ridge,4,Logged,,hand,,Temnothorax,longispinosus,temlon,1
2003,6/1/2003,Ridge,4,Logged,,litter,1,Aphaenogaster,fulva,aphful,1
2003,6/1/2003,Ridge,4,Logged,,litter,1,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,4,Logged,,litter,2,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,4,Logged,,litter,2,Temnothorax,longispinosus,temlon,2
2003,6/1/2003,Ridge,4,Logged,,litter,3,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,4,Logged,,pitfall,1,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,4,Logged,,pitfall,15,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,4,Logged,,pitfall,17,Aphaenogaster,picea,aphpic,2
2003,6/1/2003,Ridge,4,Logged,,pitfall,19,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,4,Logged,,pitfall,2,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,4,Logged,,pitfall,20,Temnothorax,longispinosus,temlon,1
2003,6/1/2003,Ridge,4,Logged,,pitfall,22,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,4,Logged,,pitfall,23,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,4,Logged,,pitfall,24,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,4,Logged,,pitfall,5,Aphaenogaster,picea,aphpic,2
2003,6/1/2003,Ridge,4,Logged,,pitfall,7,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,5,Girdled,,bait,1 hour,Aphaenogaster,fulva,aphful,1
2003,6/1/2003,Ridge,5,Girdled,,bait,1 hour,Aphaenogaster,picea,aphpic,2
2003,6/1/2003,Ridge,5,Girdled,,bait,1 hour,Camponotus,pennsylvanicus,campen,2
2003,6/1/2003,Ridge,5,Girdled,,bait,15 minutes,Aphaenogaster,picea,aphpic,2
2003,6/1/2003,Ridge,5,Girdled,,bait,15 minutes,Camponotus,pennsylvanicus,campen,1
2003,6/1/2003,Ridge,5,Girdled,,hand,,Aphaenogaster,fulva,aphful,1
2003,6/1/2003,Ridge,5,Girdled,,hand,,Aphaenogaster,picea,aphpic,2
2003,6/1/2003,Ridge,5,Girdled,,hand,,Camponotus,pennsylvanicus,campen,2
2003,6/1/2003,Ridge,5,Girdled,,litter,1,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,5,Girdled,,litter,2,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,5,Girdled,,litter,2,Stenemma,diecki,stedie,1
2003,6/1/2003,Ridge,5,Girdled,,pitfall,1,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,5,Girdled,,pitfall,10,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,5,Girdled,,pitfall,12,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,5,Girdled,,pitfall,15,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,5,Girdled,,pitfall,18,Camponotus,pennsylvanicus,campen,1
2003,6/1/2003,Ridge,5,Girdled,,pitfall,23,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,5,Girdled,,pitfall,8,Camponotus,pennsylvanicus,campen,1
2003,6/1/2003,Ridge,5,Girdled,,pitfall,9,Camponotus,pennsylvanicus,campen,1
2003,6/1/2003,Ridge,6,HemlockControl,,bait,1 hour,Aphaenogaster,fulva,aphful,2
2003,6/1/2003,Ridge,6,HemlockControl,,bait,1 hour,Aphaenogaster,picea,aphpic,3
2003,6/1/2003,Ridge,6,HemlockControl,,bait,15 minutes,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,6,HemlockControl,,bait,15 minutes,Camponotus,pennsylvanicus,campen,1
2003,6/1/2003,Ridge,6,HemlockControl,,hand,,Aphaenogaster,picea,aphpic,2
2003,6/1/2003,Ridge,6,HemlockControl,,hand,,Lasius,nearcticus,lasnea,1
2003,6/1/2003,Ridge,6,HemlockControl,,litter,1,Aphaenogaster,fulva,aphful,1
2003,6/1/2003,Ridge,6,HemlockControl,,litter,1,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,6,HemlockControl,,litter,3,Aphaenogaster,picea,aphpic,2
2003,6/1/2003,Ridge,6,HemlockControl,,pitfall,14,Aphaenogaster,fulva,aphful,1
2003,6/1/2003,Ridge,6,HemlockControl,,pitfall,20,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,6,HemlockControl,,pitfall,23,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,6,HemlockControl,,pitfall,24,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,6,HemlockControl,,pitfall,25,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,7,HardwoodControl,,bait,1 hour,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,7,HardwoodControl,,bait,1 hour,Temnothorax,longispinosus,temlon,1
2003,6/1/2003,Ridge,7,HardwoodControl,,bait,15 minutes,Aphaenogaster,picea,aphpic,2
2003,6/1/2003,Ridge,7,HardwoodControl,,bait,15 minutes,Camponotus,pennsylvanicus,campen,1
2003,6/1/2003,Ridge,7,HardwoodControl,,bait,15 minutes,Temnothorax,longispinosus,temlon,1
2003,6/1/2003,Ridge,7,HardwoodControl,,hand,,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,7,HardwoodControl,,hand,,Camponotus,pennsylvanicus,campen,2
2003,6/1/2003,Ridge,7,HardwoodControl,,hand,,Lasius,americanus,lasame,2
2003,6/1/2003,Ridge,7,HardwoodControl,,hand,,Temnothorax,longispinosus,temlon,1
2003,6/1/2003,Ridge,7,HardwoodControl,,litter,1,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,7,HardwoodControl,,litter,1,Camponotus,pennsylvanicus,campen,1
2003,6/1/2003,Ridge,7,HardwoodControl,,litter,1,Formica,subaenescens,forsub1,1
2003,6/1/2003,Ridge,7,HardwoodControl,,litter,2,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,7,HardwoodControl,,litter,2,Camponotus,pennsylvanicus,campen,1
2003,6/1/2003,Ridge,7,HardwoodControl,,litter,2,Myrmica,punctiventris,myrpun,1
2003,6/1/2003,Ridge,7,HardwoodControl,,pitfall,11,Myrmica,punctiventris,myrpun,1
2003,6/1/2003,Ridge,7,HardwoodControl,,pitfall,12,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,7,HardwoodControl,,pitfall,13,Lasius,americanus,lasame,1
2003,6/1/2003,Ridge,7,HardwoodControl,,pitfall,14,Lasius,umbratus,lasumb,1
2003,6/1/2003,Ridge,7,HardwoodControl,,pitfall,2,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,7,HardwoodControl,,pitfall,20,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,7,HardwoodControl,,pitfall,21,Aphaenogaster,picea,aphpic,2
2003,6/1/2003,Ridge,7,HardwoodControl,,pitfall,25,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,7,HardwoodControl,,pitfall,25,Camponotus,pennsylvanicus,campen,1
2003,6/1/2003,Ridge,7,HardwoodControl,,pitfall,4,Aphaenogaster,picea,aphpic,1
2003,6/1/2003,Ridge,7,HardwoodControl,,pitfall,5,Camponotus,pennsylvanicus,campen,1
