"","year","date","block","plot","treatment","moose.cage","trap.type","trap.num","genus","species","code","abundance"
"1",2003,"2003-06-01","Ridge",4,"Logged",NA,"bait","1 hour","Aphaenogaster","fulva","aphful",2
"2",2003,"2003-06-01","Ridge",4,"Logged",NA,"bait","1 hour","Aphaenogaster","picea","aphpic",2
"3",2003,"2003-06-01","Ridge",4,"Logged",NA,"bait","1 hour","Temnothorax","longispinosus","temlon",1
"4",2003,"2003-06-01","Ridge",4,"Logged",NA,"bait","15 minutes","Aphaenogaster","picea","aphpic",2
"5",2003,"2003-06-01","Ridge",4,"Logged",NA,"hand",NA,"Aphaenogaster","picea","aphpic",1
"6",2003,"2003-06-01","Ridge",4,"Logged",NA,"hand",NA,"Camponotus","pennsylvanicus","campen",1
"7",2003,"2003-06-01","Ridge",4,"Logged",NA,"hand",NA,"Lasius","americanus","lasame",1
"8",2003,"2003-06-01","Ridge",4,"Logged",NA,"hand",NA,"Myrmica","punctiventris","myrpun",1
"9",2003,"2003-06-01","Ridge",4,"Logged",NA,"hand",NA,"Temnothorax","longispinosus","temlon",1
"10",2003,"2003-06-01","Ridge",4,"Logged",NA,"litter","1","Aphaenogaster","fulva","aphful",1
"11",2003,"2003-06-01","Ridge",4,"Logged",NA,"litter","1","Aphaenogaster","picea","aphpic",1
"12",2003,"2003-06-01","Ridge",4,"Logged",NA,"litter","2","Aphaenogaster","picea","aphpic",1
"13",2003,"2003-06-01","Ridge",4,"Logged",NA,"litter","2","Temnothorax","longispinosus","temlon",2
"14",2003,"2003-06-01","Ridge",4,"Logged",NA,"litter","3","Aphaenogaster","picea","aphpic",1
"15",2003,"2003-06-01","Ridge",4,"Logged",NA,"pitfall","1","Aphaenogaster","picea","aphpic",1
"16",2003,"2003-06-01","Ridge",4,"Logged",NA,"pitfall","15","Aphaenogaster","picea","aphpic",1
"17",2003,"2003-06-01","Ridge",4,"Logged",NA,"pitfall","17","Aphaenogaster","picea","aphpic",2
"18",2003,"2003-06-01","Ridge",4,"Logged",NA,"pitfall","19","Aphaenogaster","picea","aphpic",1
"19",2003,"2003-06-01","Ridge",4,"Logged",NA,"pitfall","2","Aphaenogaster","picea","aphpic",1
"20",2003,"2003-06-01","Ridge",4,"Logged",NA,"pitfall","20","Temnothorax","longispinosus","temlon",1
"21",2003,"2003-06-01","Ridge",4,"Logged",NA,"pitfall","22","Aphaenogaster","picea","aphpic",1
"22",2003,"2003-06-01","Ridge",4,"Logged",NA,"pitfall","23","Aphaenogaster","picea","aphpic",1
"23",2003,"2003-06-01","Ridge",4,"Logged",NA,"pitfall","24","Aphaenogaster","picea","aphpic",1
"24",2003,"2003-06-01","Ridge",4,"Logged",NA,"pitfall","5","Aphaenogaster","picea","aphpic",2
"25",2003,"2003-06-01","Ridge",4,"Logged",NA,"pitfall","7","Aphaenogaster","picea","aphpic",1
"26",2003,"2003-06-01","Ridge",5,"Girdled",NA,"bait","1 hour","Aphaenogaster","fulva","aphful",1
"27",2003,"2003-06-01","Ridge",5,"Girdled",NA,"bait","1 hour","Aphaenogaster","picea","aphpic",2
"28",2003,"2003-06-01","Ridge",5,"Girdled",NA,"bait","1 hour","Camponotus","pennsylvanicus","campen",2
"29",2003,"2003-06-01","Ridge",5,"Girdled",NA,"bait","15 minutes","Aphaenogaster","picea","aphpic",2
"30",2003,"2003-06-01","Ridge",5,"Girdled",NA,"bait","15 minutes","Camponotus","pennsylvanicus","campen",1
"31",2003,"2003-06-01","Ridge",5,"Girdled",NA,"hand",NA,"Aphaenogaster","fulva","aphful",1
"32",2003,"2003-06-01","Ridge",5,"Girdled",NA,"hand",NA,"Aphaenogaster","picea","aphpic",2
"33",2003,"2003-06-01","Ridge",5,"Girdled",NA,"hand",NA,"Camponotus","pennsylvanicus","campen",2
"34",2003,"2003-06-01","Ridge",5,"Girdled",NA,"litter","1","Aphaenogaster","picea","aphpic",1
"35",2003,"2003-06-01","Ridge",5,"Girdled",NA,"litter","2","Aphaenogaster","picea","aphpic",1
"36",2003,"2003-06-01","Ridge",5,"Girdled",NA,"litter","2","Stenemma","diecki","stedie",1
"37",2003,"2003-06-01","Ridge",5,"Girdled",NA,"pitfall","1","Aphaenogaster","picea","aphpic",1
"38",2003,"2003-06-01","Ridge",5,"Girdled",NA,"pitfall","10","Aphaenogaster","picea","aphpic",1
"39",2003,"2003-06-01","Ridge",5,"Girdled",NA,"pitfall","12","Aphaenogaster","picea","aphpic",1
"40",2003,"2003-06-01","Ridge",5,"Girdled",NA,"pitfall","15","Aphaenogaster","picea","aphpic",1
"41",2003,"2003-06-01","Ridge",5,"Girdled",NA,"pitfall","18","Camponotus","pennsylvanicus","campen",1
"42",2003,"2003-06-01","Ridge",5,"Girdled",NA,"pitfall","23","Aphaenogaster","picea","aphpic",1
"43",2003,"2003-06-01","Ridge",5,"Girdled",NA,"pitfall","8","Camponotus","pennsylvanicus","campen",1
"44",2003,"2003-06-01","Ridge",5,"Girdled",NA,"pitfall","9","Camponotus","pennsylvanicus","campen",1
"45",2003,"2003-06-01","Ridge",6,"HemlockControl",NA,"bait","1 hour","Aphaenogaster","fulva","aphful",2
"46",2003,"2003-06-01","Ridge",6,"HemlockControl",NA,"bait","1 hour","Aphaenogaster","picea","aphpic",3
"47",2003,"2003-06-01","Ridge",6,"HemlockControl",NA,"bait","15 minutes","Aphaenogaster","picea","aphpic",1
"48",2003,"2003-06-01","Ridge",6,"HemlockControl",NA,"bait","15 minutes","Camponotus","pennsylvanicus","campen",1
"49",2003,"2003-06-01","Ridge",6,"HemlockControl",NA,"hand",NA,"Aphaenogaster","picea","aphpic",2
"50",2003,"2003-06-01","Ridge",6,"HemlockControl",NA,"hand",NA,"Lasius","nearcticus","lasnea",1
"51",2003,"2003-06-01","Ridge",6,"HemlockControl",NA,"litter","1","Aphaenogaster","fulva","aphful",1
"52",2003,"2003-06-01","Ridge",6,"HemlockControl",NA,"litter","1","Aphaenogaster","picea","aphpic",1
"53",2003,"2003-06-01","Ridge",6,"HemlockControl",NA,"litter","3","Aphaenogaster","picea","aphpic",2
"54",2003,"2003-06-01","Ridge",6,"HemlockControl",NA,"pitfall","14","Aphaenogaster","fulva","aphful",1
"55",2003,"2003-06-01","Ridge",6,"HemlockControl",NA,"pitfall","20","Aphaenogaster","picea","aphpic",1
"56",2003,"2003-06-01","Ridge",6,"HemlockControl",NA,"pitfall","23","Aphaenogaster","picea","aphpic",1
"57",2003,"2003-06-01","Ridge",6,"HemlockControl",NA,"pitfall","24","Aphaenogaster","picea","aphpic",1
"58",2003,"2003-06-01","Ridge",6,"HemlockControl",NA,"pitfall","25","Aphaenogaster","picea","aphpic",1
"59",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"bait","1 hour","Aphaenogaster","picea","aphpic",1
"60",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"bait","1 hour","Temnothorax","longispinosus","temlon",1
"61",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"bait","15 minutes","Aphaenogaster","picea","aphpic",2
"62",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"bait","15 minutes","Camponotus","pennsylvanicus","campen",1
"63",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"bait","15 minutes","Temnothorax","longispinosus","temlon",1
"64",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"hand",NA,"Aphaenogaster","picea","aphpic",1
"65",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"hand",NA,"Camponotus","pennsylvanicus","campen",2
"66",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"hand",NA,"Lasius","americanus","lasame",2
"67",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"hand",NA,"Temnothorax","longispinosus","temlon",1
"68",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"litter","1","Aphaenogaster","picea","aphpic",1
"69",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"litter","1","Camponotus","pennsylvanicus","campen",1
"70",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"litter","1","Formica","subaenescens","forsub1",1
"71",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"litter","2","Aphaenogaster","picea","aphpic",1
"72",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"litter","2","Camponotus","pennsylvanicus","campen",1
"73",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"litter","2","Myrmica","punctiventris","myrpun",1
"74",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"pitfall","11","Myrmica","punctiventris","myrpun",1
"75",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"pitfall","12","Aphaenogaster","picea","aphpic",1
"76",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"pitfall","13","Lasius","americanus","lasame",1
"77",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"pitfall","14","Lasius","umbratus","lasumb",1
"78",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"pitfall","2","Aphaenogaster","picea","aphpic",1
"79",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"pitfall","20","Aphaenogaster","picea","aphpic",1
"80",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"pitfall","21","Aphaenogaster","picea","aphpic",2
"81",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"pitfall","25","Aphaenogaster","picea","aphpic",1
"82",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"pitfall","25","Camponotus","pennsylvanicus","campen",1
"83",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"pitfall","4","Aphaenogaster","picea","aphpic",1
"84",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"pitfall","5","Camponotus","pennsylvanicus","campen",1
"85",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"pitfall","7","Myrmica","punctiventris","myrpun",1
"86",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"pitfall","8","Camponotus","pennsylvanicus","campen",1
