"","plot","subplot","trt","block","year","species","cover"
"1",1,1,"girdled","valley",2003,"ztot.cover",0
"2",1,2,"girdled","valley",2003,"ztot.cover",0
"3",1,3,"girdled","valley",2003,"ztot.cover",0
"4",1,4,"girdled","valley",2003,"ztot.cover",0
"5",1,5,"girdled","valley",2003,"ztot.cover",0
"6",1,6,"girdled","valley",2003,"coptri",0.5
"7",1,6,"girdled","valley",2003,"osmcin",5
"8",1,6,"girdled","valley",2003,"ztot.cover",5.5
"9",1,7,"girdled","valley",2003,"mitrep",2
"10",1,7,"girdled","valley",2003,"osmcin",15
"11",1,7,"girdled","valley",2003,"ztot.cover",17
"12",1,8,"girdled","valley",2003,"ztot.cover",0
"13",1,9,"girdled","valley",2003,"ztot.cover",0
"14",1,10,"girdled","valley",2003,"ztot.cover",0
"15",2,1,"logged","valley",2003,"ztot.cover",0
"16",2,2,"logged","valley",2003,"ztot.cover",0
"17",2,3,"logged","valley",2003,"ztot.cover",0
"18",2,4,"logged","valley",2003,"ztot.cover",0
"19",2,5,"logged","valley",2003,"ztot.cover",0
"20",2,6,"logged","valley",2003,"ztot.cover",0
"21",2,7,"logged","valley",2003,"ztot.cover",0
"22",2,8,"logged","valley",2003,"ztot.cover",0
"23",2,9,"logged","valley",2003,"ztot.cover",0
"24",2,10,"logged","valley",2003,"ztot.cover",0
"25",3,1,"hemlock","valley",2003,"ztot.cover",0
"26",3,2,"hemlock","valley",2003,"ztot.cover",0
"27",3,3,"hemlock","valley",2003,"ztot.cover",0
"28",3,4,"hemlock","valley",2003,"ztot.cover",0
"29",3,5,"hemlock","valley",2003,"ztot.cover",0
"30",3,6,"hemlock","valley",2003,"mitrep",1
"31",3,6,"hemlock","valley",2003,"ztot.cover",1
"32",3,7,"hemlock","valley",2003,"ztot.cover",0
"33",3,8,"hemlock","valley",2003,"ztot.cover",0
"34",3,9,"hemlock","valley",2003,"ztot.cover",0
"35",3,10,"hemlock","valley",2003,"ztot.cover",0
"36",4,1,"logged","ridge",2003,"ztot.cover",0
"37",4,2,"logged","ridge",2003,"ztot.cover",0
"38",4,3,"logged","ridge",2003,"ztot.cover",0
"39",4,4,"logged","ridge",2003,"ztot.cover",0
"40",4,5,"logged","ridge",2003,"ztot.cover",0
"41",4,6,"logged","ridge",2003,"ztot.cover",0
"42",4,7,"logged","ridge",2003,"ztot.cover",0
"43",4,8,"logged","ridge",2003,"ztot.cover",0
"44",4,9,"logged","ridge",2003,"ztot.cover",0
"45",4,10,"logged","ridge",2003,"ztot.cover",0
"46",5,1,"girdled","ridge",2003,"ztot.cover",0
"47",5,2,"girdled","ridge",2003,"ztot.cover",0
"48",5,3,"girdled","ridge",2003,"ztot.cover",0
"49",5,4,"girdled","ridge",2003,"ztot.cover",0
"50",5,5,"girdled","ridge",2003,"ztot.cover",0
"51",5,6,"girdled","ridge",2003,"gootes",0.5
"52",5,6,"girdled","ridge",2003,"ztot.cover",0.5
"53",5,7,"girdled","ridge",2003,"ztot.cover",0
"54",5,8,"girdled","ridge",2003,"ztot.cover",0
"55",5,9,"girdled","ridge",2003,"ztot.cover",0
"56",5,10,"girdled","ridge",2003,"ztot.cover",0
"57",6,1,"hemlock","ridge",2003,"ztot.cover",0
"58",6,2,"hemlock","ridge",2003,"lysbor",0.5
"59",6,2,"hemlock","ridge",2003,"ztot.cover",0.5
"60",6,3,"hemlock","ridge",2003,"ztot.cover",0
"61",6,4,"hemlock","ridge",2003,"ztot.cover",0
"62",6,5,"hemlock","ridge",2003,"medvir",0.5
"63",6,5,"hemlock","ridge",2003,"ztot.cover",0.5
"64",6,6,"hemlock","ridge",2003,"drysp",0.5
"65",6,6,"hemlock","ridge",2003,"ztot.cover",0.5
"66",6,7,"hemlock","ridge",2003,"drysp",4
"67",6,7,"hemlock","ridge",2003,"hupluc",0.5
"68",6,7,"hemlock","ridge",2003,"mitrep",0.5
"69",6,7,"hemlock","ridge",2003,"ztot.cover",5
"70",6,8,"hemlock","ridge",2003,"ztot.cover",0
"71",6,9,"hemlock","ridge",2003,"mitrep",1
"72",6,9,"hemlock","ridge",2003,"parnov",2
"73",6,9,"hemlock","ridge",2003,"ztot.cover",3
"74",6,10,"hemlock","ridge",2003,"mitrep",0.5
"75",6,10,"hemlock","ridge",2003,"ztot.cover",0.5
"76",7,1,"hardwood","ridge",2003,"aranud",5
"77",7,1,"hardwood","ridge",2003,"denobs",5
"78",7,1,"hardwood","ridge",2003,"denpun",10
"79",7,1,"hardwood","ridge",2003,"gootes",0.5
"80",7,1,"hardwood","ridge",2003,"lysbor",0.5
"81",7,1,"hardwood","ridge",2003,"maican",0.5
"82",7,1,"hardwood","ridge",2003,"mitrep",1
"83",7,1,"hardwood","ridge",2003,"ztot.cover",22.5
"84",7,2,"hardwood","ridge",2003,"denobs",3
"85",7,2,"hardwood","ridge",2003,"lysbor",1
"86",7,2,"hardwood","ridge",2003,"maican",0.5
"87",7,2,"hardwood","ridge",2003,"mitrep",6
"88",7,2,"hardwood","ridge",2003,"ztot.cover",10.5
"89",7,3,"hardwood","ridge",2003,"aranud",2
"90",7,3,"hardwood","ridge",2003,"carpen",2
"91",7,3,"hardwood","ridge",2003,"denpun",45
"92",7,3,"hardwood","ridge",2003,"lysbor",0.5
"93",7,3,"hardwood","ridge",2003,"maican",1
"94",7,3,"hardwood","ridge",2003,"mitrep",7
"95",7,3,"hardwood","ridge",2003,"ztot.cover",57.5
"96",7,4,"hardwood","ridge",2003,"aranud",15
"97",7,4,"hardwood","ridge",2003,"carpen",2
"98",7,4,"hardwood","ridge",2003,"denpun",35
"99",7,4,"hardwood","ridge",2003,"gootes",0.5
"100",7,4,"hardwood","ridge",2003,"maican",0.5
"101",7,4,"hardwood","ridge",2003,"mitrep",12
"102",7,4,"hardwood","ridge",2003,"ztot.cover",65
"103",7,5,"hardwood","ridge",2003,"aranud",2
"104",7,5,"hardwood","ridge",2003,"denobs",3
"105",7,5,"hardwood","ridge",2003,"lysbor",0.5
"106",7,5,"hardwood","ridge",2003,"maican",0.5
"107",7,5,"hardwood","ridge",2003,"ztot.cover",6
"108",7,6,"hardwood","ridge",2003,"denpun",3
"109",7,6,"hardwood","ridge",2003,"maican",0.5
"110",7,6,"hardwood","ridge",2003,"mitrep",2
"111",7,6,"hardwood","ridge",2003,"ztot.cover",5.5
"112",7,7,"hardwood","ridge",2003,"aranud",1
"113",7,7,"hardwood","ridge",2003,"carpen",0.5
"114",7,7,"hardwood","ridge",2003,"maican",0.5
"115",7,7,"hardwood","ridge",2003,"mitrep",5
"116",7,7,"hardwood","ridge",2003,"ztot.cover",7
"117",7,8,"hardwood","ridge",2003,"aranud",20
"118",7,8,"hardwood","ridge",2003,"denpun",40
"119",7,8,"hardwood","ridge",2003,"maican",0.5
"120",7,8,"hardwood","ridge",2003,"medvir",2
"121",7,8,"hardwood","ridge",2003,"mitrep",10
"122",7,8,"hardwood","ridge",2003,"vacang",0.5
"123",7,8,"hardwood","ridge",2003,"ztot.cover",73
"124",7,9,"hardwood","ridge",2003,"aranud",7
"125",7,9,"hardwood","ridge",2003,"carpen",2
"126",7,9,"hardwood","ridge",2003,"denobs",0.5
"127",7,9,"hardwood","ridge",2003,"maican",0.5
"128",7,9,"hardwood","ridge",2003,"mitrep",2
"129",7,9,"hardwood","ridge",2003,"vacang",40
"130",7,9,"hardwood","ridge",2003,"ztot.cover",52
"131",7,10,"hardwood","ridge",2003,"drysp",2
"132",7,10,"hardwood","ridge",2003,"lysbor",0.5
"133",7,10,"hardwood","ridge",2003,"maican",0.5
"134",7,10,"hardwood","ridge",2003,"mitrep",20
"135",7,10,"hardwood","ridge",2003,"ztot.cover",23
"136",8,1,"hardwood","valley",2003,"denobs",2
"137",8,1,"hardwood","valley",2003,"lysbor",0.5
"138",8,1,"hardwood","valley",2003,"maican",0.5
"139",8,1,"hardwood","valley",2003,"mitrep",0.5
"140",8,1,"hardwood","valley",2003,"oclacu",0.5
"141",8,1,"hardwood","valley",2003,"ztot.cover",4
"142",8,2,"hardwood","valley",2003,"carpen",0.5
"143",8,2,"hardwood","valley",2003,"hupluc",4
"144",8,2,"hardwood","valley",2003,"lysbor",0.5
"145",8,2,"hardwood","valley",2003,"maican",0.5
"146",8,2,"hardwood","valley",2003,"mitrep",0.5
"147",8,2,"hardwood","valley",2003,"vacang",0.5
"148",8,2,"hardwood","valley",2003,"ztot.cover",6.5
"149",8,3,"hardwood","valley",2003,"carpen",0.5
"150",8,3,"hardwood","valley",2003,"corcor",7
"151",8,3,"hardwood","valley",2003,"denpun",35
"152",8,3,"hardwood","valley",2003,"eurdiv",0.5
"153",8,3,"hardwood","valley",2003,"maican",0.5
"154",8,3,"hardwood","valley",2003,"mitrep",2
"155",8,3,"hardwood","valley",2003,"parqui",0.5
"156",8,3,"hardwood","valley",2003,"vacang",1
"157",8,3,"hardwood","valley",2003,"ztot.cover",47
"158",8,4,"hardwood","valley",2003,"corcor",0.5
"159",8,4,"hardwood","valley",2003,"hamvir",1
"160",8,4,"hardwood","valley",2003,"maican",0.5
"161",8,4,"hardwood","valley",2003,"ztot.cover",2
"162",8,5,"hardwood","valley",2003,"carpen",5
"163",8,5,"hardwood","valley",2003,"denpun",5
"164",8,5,"hardwood","valley",2003,"maican",1
"165",8,5,"hardwood","valley",2003,"mitrep",4
"166",8,5,"hardwood","valley",2003,"ztot.cover",15
"167",8,6,"hardwood","valley",2003,"aranud",6
"168",8,6,"hardwood","valley",2003,"carpen",0.5
"169",8,6,"hardwood","valley",2003,"denobs",0.5
"170",8,6,"hardwood","valley",2003,"maican",0.5
"171",8,6,"hardwood","valley",2003,"mitrep",8
"172",8,6,"hardwood","valley",2003,"monuni",0.5
"173",8,6,"hardwood","valley",2003,"ztot.cover",16
"174",8,7,"hardwood","valley",2003,"aranud",4
"175",8,7,"hardwood","valley",2003,"carpen",0.5
"176",8,7,"hardwood","valley",2003,"denobs",1
"177",8,7,"hardwood","valley",2003,"maican",1
"178",8,7,"hardwood","valley",2003,"mitrep",4
"179",8,7,"hardwood","valley",2003,"ztot.cover",10.5
"180",8,8,"hardwood","valley",2003,"aranud",12
"181",8,8,"hardwood","valley",2003,"carpen",1
"182",8,8,"hardwood","valley",2003,"denpun",15
"183",8,8,"hardwood","valley",2003,"lysbor",0.5
"184",8,8,"hardwood","valley",2003,"maican",0.5
"185",8,8,"hardwood","valley",2003,"mitrep",0.5
"186",8,8,"hardwood","valley",2003,"vacang",7
"187",8,8,"hardwood","valley",2003,"ztot.cover",36.5
"188",8,9,"hardwood","valley",2003,"carpen",10
"189",8,9,"hardwood","valley",2003,"denobs",2
"190",8,9,"hardwood","valley",2003,"maican",0.5
"191",8,9,"hardwood","valley",2003,"mitrep",1
"192",8,9,"hardwood","valley",2003,"vacang",4
"193",8,9,"hardwood","valley",2003,"ztot.cover",17.5
"194",8,10,"hardwood","valley",2003,"denobs",2
"195",8,10,"hardwood","valley",2003,"maican",0.5
"196",8,10,"hardwood","valley",2003,"mitrep",5
"197",8,10,"hardwood","valley",2003,"vibnud",1
"198",8,10,"hardwood","valley",2003,"ztot.cover",8.5
"199",1,1,"girdled","valley",2004,"ztot.cover",0
"200",1,2,"girdled","valley",2004,"ztot.cover",0
"201",1,3,"girdled","valley",2004,"ztot.cover",0
"202",1,4,"girdled","valley",2004,"ztot.cover",0
"203",1,5,"girdled","valley",2004,"ztot.cover",0
"204",1,6,"girdled","valley",2004,"osmcin",0.5
"205",1,6,"girdled","valley",2004,"ztot.cover",0.5
"206",1,7,"girdled","valley",2004,"mitrep",5
"207",1,7,"girdled","valley",2004,"osmcin",20
"208",1,7,"girdled","valley",2004,"ztot.cover",25
"209",1,8,"girdled","valley",2004,"ztot.cover",0
"210",1,9,"girdled","valley",2004,"ztot.cover",0
"211",1,10,"girdled","valley",2004,"ztot.cover",0
"212",2,1,"logged","valley",2004,"ztot.cover",0
"213",2,2,"logged","valley",2004,"ztot.cover",0
"214",2,3,"logged","valley",2004,"ztot.cover",0
"215",2,4,"logged","valley",2004,"ztot.cover",0
"216",2,5,"logged","valley",2004,"ztot.cover",0
"217",2,6,"logged","valley",2004,"ztot.cover",0
"218",2,7,"logged","valley",2004,"ztot.cover",0
"219",2,8,"logged","valley",2004,"ztot.cover",0
"220",2,9,"logged","valley",2004,"ztot.cover",0
"221",2,10,"logged","valley",2004,"ztot.cover",0
"222",3,1,"hemlock","valley",2004,"ztot.cover",0
"223",3,2,"hemlock","valley",2004,"polacr",1
"224",3,2,"hemlock","valley",2004,"ztot.cover",1
"225",3,3,"hemlock","valley",2004,"ztot.cover",0
"226",3,4,"hemlock","valley",2004,"ztot.cover",0
"227",3,5,"hemlock","valley",2004,"ztot.cover",0
"228",3,6,"hemlock","valley",2004,"mitrep",1
"229",3,6,"hemlock","valley",2004,"ztot.cover",1
"230",3,7,"hemlock","valley",2004,"ztot.cover",0
"231",3,8,"hemlock","valley",2004,"ztot.cover",0
"232",3,9,"hemlock","valley",2004,"ztot.cover",0
"233",3,10,"hemlock","valley",2004,"ztot.cover",0
"234",4,1,"logged","ridge",2004,"ztot.cover",0
"235",4,2,"logged","ridge",2004,"ztot.cover",0
"236",4,3,"logged","ridge",2004,"ztot.cover",0
"237",4,4,"logged","ridge",2004,"ztot.cover",0
"238",4,5,"logged","ridge",2004,"ztot.cover",0
"239",4,6,"logged","ridge",2004,"ztot.cover",0
"240",4,7,"logged","ridge",2004,"ztot.cover",0
"241",4,8,"logged","ridge",2004,"ztot.cover",0
"242",4,9,"logged","ridge",2004,"ztot.cover",0
"243",4,10,"logged","ridge",2004,"ztot.cover",0
"244",5,1,"girdled","ridge",2004,"ztot.cover",0
"245",5,2,"girdled","ridge",2004,"ztot.cover",0
"246",5,3,"girdled","ridge",2004,"ztot.cover",0
"247",5,4,"girdled","ridge",2004,"ztot.cover",0
"248",5,5,"girdled","ridge",2004,"ztot.cover",0
"249",5,6,"girdled","ridge",2004,"ztot.cover",0
"250",5,7,"girdled","ridge",2004,"ztot.cover",0
"251",5,8,"girdled","ridge",2004,"ztot.cover",0
"252",5,9,"girdled","ridge",2004,"ztot.cover",0
"253",5,10,"girdled","ridge",2004,"ztot.cover",0
"254",6,1,"hemlock","ridge",2004,"ztot.cover",0
"255",6,2,"hemlock","ridge",2004,"lysbor",0.5
"256",6,2,"hemlock","ridge",2004,"ztot.cover",0.5
"257",6,3,"hemlock","ridge",2004,"ztot.cover",0
"258",6,4,"hemlock","ridge",2004,"ztot.cover",0
"259",6,5,"hemlock","ridge",2004,"ztot.cover",0
"260",6,6,"hemlock","ridge",2004,"drysp",1
"261",6,6,"hemlock","ridge",2004,"ztot.cover",1
"262",6,7,"hemlock","ridge",2004,"drysp",5
"263",6,7,"hemlock","ridge",2004,"hupluc",0.5
"264",6,7,"hemlock","ridge",2004,"ztot.cover",5.5
"265",6,8,"hemlock","ridge",2004,"lysbor",0.5
"266",6,8,"hemlock","ridge",2004,"ztot.cover",0.5
"267",6,9,"hemlock","ridge",2004,"mitrep",3
"268",6,9,"hemlock","ridge",2004,"parnov",3
"269",6,9,"hemlock","ridge",2004,"ztot.cover",6
"270",6,10,"hemlock","ridge",2004,"mitrep",0.5
"271",6,10,"hemlock","ridge",2004,"ztot.cover",0.5
"272",7,1,"hardwood","ridge",2004,"aranud",10
"273",7,1,"hardwood","ridge",2004,"denobs",7
"274",7,1,"hardwood","ridge",2004,"denpun",10
"275",7,1,"hardwood","ridge",2004,"lysbor",2
"276",7,1,"hardwood","ridge",2004,"maican",2
"277",7,1,"hardwood","ridge",2004,"mitrep",0.5
"278",7,1,"hardwood","ridge",2004,"uvuses",0.5
"279",7,1,"hardwood","ridge",2004,"ztot.cover",32
"280",7,2,"hardwood","ridge",2004,"denobs",1
"281",7,2,"hardwood","ridge",2004,"lysbor",0.5
"282",7,2,"hardwood","ridge",2004,"maican",1
"283",7,2,"hardwood","ridge",2004,"mitrep",5
"284",7,2,"hardwood","ridge",2004,"ztot.cover",7.5
"285",7,3,"hardwood","ridge",2004,"aranud",3
"286",7,3,"hardwood","ridge",2004,"carpen",1
"287",7,3,"hardwood","ridge",2004,"denpun",45
"288",7,3,"hardwood","ridge",2004,"lysbor",1
"289",7,3,"hardwood","ridge",2004,"maican",2
"290",7,3,"hardwood","ridge",2004,"mitrep",1
"291",7,3,"hardwood","ridge",2004,"vitsp",3
"292",7,3,"hardwood","ridge",2004,"ztot.cover",56
"293",7,4,"hardwood","ridge",2004,"aranud",15
"294",7,4,"hardwood","ridge",2004,"carpen",1
"295",7,4,"hardwood","ridge",2004,"denpun",20
"296",7,4,"hardwood","ridge",2004,"lysbor",0.5
"297",7,4,"hardwood","ridge",2004,"maican",4
"298",7,4,"hardwood","ridge",2004,"mitrep",3
"299",7,4,"hardwood","ridge",2004,"ztot.cover",43.5
"300",7,5,"hardwood","ridge",2004,"aranud",3
"301",7,5,"hardwood","ridge",2004,"denobs",2
"302",7,5,"hardwood","ridge",2004,"lysbor",2
"303",7,5,"hardwood","ridge",2004,"maican",3
"304",7,5,"hardwood","ridge",2004,"ztot.cover",10
"305",7,6,"hardwood","ridge",2004,"denpun",4
"306",7,6,"hardwood","ridge",2004,"lysbor",1
"307",7,6,"hardwood","ridge",2004,"maican",3
"308",7,6,"hardwood","ridge",2004,"mitrep",0.5
"309",7,6,"hardwood","ridge",2004,"ztot.cover",8.5
"310",7,7,"hardwood","ridge",2004,"aranud",3
"311",7,7,"hardwood","ridge",2004,"carpen",0.5
"312",7,7,"hardwood","ridge",2004,"lysbor",1
"313",7,7,"hardwood","ridge",2004,"maican",10
"314",7,7,"hardwood","ridge",2004,"mitrep",2
"315",7,7,"hardwood","ridge",2004,"ztot.cover",16.5
"316",7,8,"hardwood","ridge",2004,"aranud",15
"317",7,8,"hardwood","ridge",2004,"carpen",0.5
"318",7,8,"hardwood","ridge",2004,"denobs",1
"319",7,8,"hardwood","ridge",2004,"denpun",50
"320",7,8,"hardwood","ridge",2004,"maican",1
"321",7,8,"hardwood","ridge",2004,"mitrep",8
"322",7,8,"hardwood","ridge",2004,"vacang",1
"323",7,8,"hardwood","ridge",2004,"ztot.cover",76.5
"324",7,9,"hardwood","ridge",2004,"aranud",12
"325",7,9,"hardwood","ridge",2004,"carpen",1
"326",7,9,"hardwood","ridge",2004,"lysbor",1
"327",7,9,"hardwood","ridge",2004,"maican",2
